"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBGRP_DESC","TEST_CMPNT_TYP_CD","NATIONAL_NUM_TESTED_CNT","STATE_NUM_TESTED_CNT","DSTRCT_NUM_TESTED_CNT","INSTN_NUM_TESTED_CNT","NATIONAL_AVG_SCORE_VAL","STATE_AVG_SCORE_VAL","DSTRCT_AVG_SCORE_VAL","INSTN_AVG_SCORE_VAL"
"2019-20","785","Rome City","0193","Rome High School","All Students","Reading",1670497,26810,"124","124",21.2,21.6,19.7,19.7
"2019-20","658","Forsyth County","0107","West Forsyth High School","All Students","Science",1670497,26810,"1074","210",20.6,20.8,24.2,23.9
"2019-20","746","Walker County","0190","Ridgeland High School","All Students","English",1670497,26811,"174","86",19.7,20.2,18.6,18.1
"2019-20","706","Muscogee County","5052","Carver High School","All Students","Mathematics",1670497,26810,"603","85",20.4,20.2,18.8,16.8
"2019-20","633","Cobb County","0186","Oakwood High School","All Students","Reading",1670497,26810,"2143","TFS",21.2,21.6,23.5,
"2019-20","628","Cherokee County","0115","River Ridge High School","All Students","Mathematics",1670497,26810,"970","120",20.4,20.2,21.6,20.9
"2019-20","626","Chattahoochee County","0206","Chattahoochee County High School","All Students","Writing Subscore",678906,5089,"TFS","TFS",6.4,6.8,,
"2019-20","626","Chattahoochee County","0206","Chattahoochee County High School","All Students","Reading",1670497,26810,"TFS","TFS",21.2,21.6,,
"2019-20","761","Atlanta Public Schools","4560","Grady High School","All Students","Writing Subscore",678906,5089,"254","22",6.4,6.8,6.3,8
"2019-20","715","Polk County","0102","Rockmart High School","All Students","English",1670497,26811,"63","25",19.7,20.2,18.1,20.2
"2019-20","715","Polk County","0102","Rockmart High School","All Students","Mathematics",1670497,26810,"63","25",20.4,20.2,19.1,20.4
"2019-20","755","Whitfield County","0212","Phoenix High School","All Students","Composite",1670497,26811,"218","TFS",20.6,20.8,19.5,
"2019-20","745","Thomaston-Upson County","0195","Upson-Lee High School","All Students","Writing Subscore",678906,5089,"TFS","TFS",6.4,6.8,,
"2019-20","644","DeKalb County","0410","DeKalb School of the Arts","All Students","Writing Subscore",678906,5089,"332","12",6.4,6.8,6.7,8.2
"2019-20","638","Coweta County","0389","East Coweta High School","All Students","Reading",1670497,26810,"543","252",21.2,21.6,22.3,22.1
"2019-20","644","DeKalb County","0202","Lithonia High School","All Students","Reading",1670497,26810,"1337","57",21.2,21.6,20.9,16.9
"2019-20","644","DeKalb County","0202","Lithonia High School","All Students","Composite",1670497,26811,"1337","57",20.6,20.8,20,16.6
"2019-20","644","DeKalb County","0202","Lithonia High School","All Students","Mathematics",1670497,26810,"1337","57",20.4,20.2,19.2,16.4
"2019-20","744","Union County","0101","Union County High School","All Students","Writing Subscore",678906,5089,"TFS","TFS",6.4,6.8,,
"2019-20","644","DeKalb County","0103","Martin Luther King, Jr. High School","All Students","Science",1670497,26810,"1337","58",20.6,20.8,19.9,15.8
"2019-20","648","Douglas County","0100","Chapel Hill High School","All Students","Writing Subscore",678906,5089,"132","23",6.4,6.8,6.5,6.7
"2019-20","658","Forsyth County","0195","North Forsyth High School","All Students","Mathematics",1670497,26810,"1074","119",20.4,20.2,23.9,20.9
"2019-20","721","Richmond County","5566","Laney High School","All Students","Mathematics",1670497,26810,"316","14",20.4,20.2,16.9,16.1
"2019-20","685","Lamar County","0175","Lamar County High School","All Students","Reading",1670497,26810,"20","20",21.2,21.6,19.9,19.9
"2019-20","636","Columbia County","0189","Lakeside High School","All Students","Composite",1670497,26811,"325","99",20.6,20.8,22.7,25.5
"2019-20","636","Columbia County","4050","Evans High School","All Students","Mathematics",1670497,26810,"325","64",20.4,20.2,22.3,21.9
"2019-20","712","Pickens County","0198","Pickens County High School","All Students","Mathematics",1670497,26810,"39","39",20.4,20.2,22.1,22.1
"2019-20","712","Pickens County","0198","Pickens County High School","All Students","Writing Subscore",678906,5089,"TFS","TFS",6.4,6.8,,
"2019-20","692","Lowndes County","5050","Lowndes High School","All Students","Writing Subscore",678906,5089,"26","26",6.4,6.8,6.7,6.7
"2019-20","692","Lowndes County","5050","Lowndes High School","All Students","English",1670497,26811,"148","148",19.7,20.2,20.4,20.4
"2019-20","716","Pulaski County","2050","Hawkinsville High School","All Students","Composite",1670497,26811,"TFS","TFS",20.6,20.8,,
"2019-20","631","Clayton County","1056","Jonesboro High School","All Students","English",1670497,26811,"760","48",19.7,20.2,16.4,16.1
"2019-20","759","Worth County","0176","Worth County High School","All Students","Composite",1670497,26811,"11","11",20.6,20.8,16.7,16.7
"2019-20","664","Gordon County","0106","Sonoraville High School","All Students","Writing Subscore",678906,5089,"TFS","TFS",6.4,6.8,,
"2019-20","657","Floyd County","0111","Model High","All Students","Reading",1670497,26810,"201","51",21.2,21.6,20.9,20.8
"2019-20","613","Brantley County","1050","Brantley County High School","All Students","Science",1670497,26810,"29","29",20.6,20.8,20.3,20.3
"2019-20","628","Cherokee County","0191","Sequoyah High School","All Students","Reading",1670497,26810,"970","127",21.2,21.6,23.2,23.7
"2019-20","628","Cherokee County","0191","Sequoyah High School","All Students","English",1670497,26811,"970","127",19.7,20.2,21.7,22
"2019-20","633","Cobb County","3056","South Cobb High School","All Students","English",1670497,26811,"2143","101",19.7,20.2,22.3,17.3
"2019-20","664","Gordon County","0286","Gordon Central High School","All Students","Science",1670497,26810,"72","39",20.6,20.8,19.4,18.8
